id_registro,texto,canal_origem,data,classe_macro,classe_detalhada
1,Erro recorrente no sistema ao tentar acessar determinadas funcionalidades.,sistema,2025-03-08,Problemas Técnicos,Erro de Sistema / Aplicação
2,Pedido de integração para sincronização de dados.,email,2025-03-22,Solicitações Operacionais,Integração com Sistemas Externos
3,Aguardando posicionamento.,formulario,2025-03-02,Outros,Mensagem Genérica
4,O sistema apresentou um erro inesperado ao executar a funcionalidade solicitada.,chat,2025-03-17,Problemas Técnicos,Erro de Sistema / Aplicação
5,Aguardando posicionamento.,chat,2025-03-23,Outros,Mensagem Genérica
6,Registro automático do sistema.,formulario,2025-03-19,Outros,Registro Automático
7,"Efetuei o pagamento, mas consta como pendente no sistema.",formulario,2025-03-11,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
8,Identifiquei cobrança duplicada na fatura.,sistema,2025-03-04,Financeiro e Cobrança,Cobrança Indevida / Duplicada
9,Não foi possível exportar o relatório solicitado.,sistema,2025-03-28,Problemas Técnicos,Erro de Exportação / Relatórios
10,Preciso reenviar o boleto de pagamento.,email,2025-03-24,Financeiro e Cobrança,Segunda Via de Boleto
11,O atendimento foi excelente.,email,2025-03-18,Feedback e Experiência,Feedback Positivo
12,Juros aplicados parecem incorretos.,sistema,2025-03-19,Financeiro e Cobrança,Juros e Encargos
13,Solicito alteração do plano contratado.,email,2025-03-22,Solicitações Operacionais,Alteração de Plano / Contrato
14,Necessário corrigir informações do cadastro.,email,2025-03-28,Solicitações Operacionais,Atualização Cadastral
15,Solicito atualização dos dados cadastrais.,formulario,2025-03-09,Solicitações Operacionais,Atualização Cadastral
16,A interface poderia ser mais intuitiva.,sistema,2025-03-12,Feedback e Experiência,Crítica de Usabilidade
17,Desejo mudar as condições do contrato.,email,2025-03-20,Solicitações Operacionais,Alteração de Plano / Contrato
18,Pedido de relatório customizado conforme necessidade.,chat,2025-03-06,Solicitações Operacionais,Customização de Relatórios
19,Seria interessante adicionar novos recursos.,chat,2025-03-22,Feedback e Experiência,Sugestão de Nova Funcionalidade
20,"Efetuei o pagamento, mas consta como pendente no sistema.",email,2025-03-26,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
21,Pedido de estorno financeiro.,email,2025-03-07,Financeiro e Cobrança,Reembolso / Estorno
22,Obrigado pela ajuda.,chat,2025-03-21,Outros,Agradecimento Simples
23,Pedido de nova funcionalidade.,formulario,2025-03-05,Feedback e Experiência,Sugestão de Nova Funcionalidade
24,Identifiquei cobrança duplicada na fatura.,sistema,2025-03-24,Financeiro e Cobrança,Cobrança Indevida / Duplicada
25,Log automático registrado.,formulario,2025-03-12,Outros,Registro Automático
26,Pedido de integração para sincronização de dados.,formulario,2025-03-03,Solicitações Operacionais,Integração com Sistemas Externos
27,O sistema apresentou um erro inesperado ao executar a funcionalidade solicitada.,chat,2025-03-26,Problemas Técnicos,Erro de Sistema / Aplicação
28,O atendimento foi excelente.,formulario,2025-03-20,Feedback e Experiência,Feedback Positivo
29,Usabilidade precisa melhorar.,email,2025-03-22,Feedback e Experiência,Crítica de Usabilidade
30,Banco de dados não responde às requisições.,sistema,2025-03-25,Problemas Técnicos,Falha de Banco de Dados
31,"Pagamento realizado, porém não identificado.",formulario,2025-03-06,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
32,Gostei muito da nova atualização.,sistema,2025-03-17,Feedback e Experiência,Feedback Positivo
33,Solicito criação de relatório personalizado.,sistema,2025-03-27,Solicitações Operacionais,Customização de Relatórios
34,Agradeço pelo atendimento.,chat,2025-03-12,Outros,Agradecimento Simples
35,Pedido de relatório customizado conforme necessidade.,email,2025-03-20,Solicitações Operacionais,Customização de Relatórios
36,Solicito reembolso do valor pago.,email,2025-03-30,Financeiro e Cobrança,Reembolso / Estorno
37,Tenho dúvidas sobre o valor da fatura.,email,2025-03-08,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
38,Entro em contato para solicitar retorno.,formulario,2025-03-27,Outros,Mensagem Genérica
39,O sistema está muito lento após a última atualização.,chat,2025-03-22,Problemas Técnicos,Problemas de Performance / Lentidão
40,O sistema poderia ser mais rápido.,formulario,2025-03-31,Feedback e Experiência,Sugestão de Melhoria
41,Pedido de relatório customizado conforme necessidade.,chat,2025-03-23,Solicitações Operacionais,Customização de Relatórios
42,Desejo informações sobre reembolso.,sistema,2025-03-15,Financeiro e Cobrança,Reembolso / Estorno
43,Registro automático do sistema.,chat,2025-03-08,Outros,Registro Automático
44,O sistema encontra-se indisponível no momento.,chat,2025-03-19,Problemas Técnicos,Indisponibilidade / Queda do Serviço
45,Solicito a criação de um novo usuário no sistema.,email,2025-03-08,Solicitações Operacionais,Criação / Gestão de Usuários
46,"A aplicação falhou durante o uso normal, exibindo uma mensagem de erro genérica.",email,2025-03-17,Problemas Técnicos,Erro de Sistema / Aplicação
47,Necessário corrigir dados já processados.,formulario,2025-03-07,Solicitações Operacionais,Reprocessamento / Correção de Dados
48,Aguardando posicionamento.,formulario,2025-03-08,Outros,Mensagem Genérica
49,Sugiro inclusão de nova funcionalidade.,email,2025-03-04,Feedback e Experiência,Sugestão de Nova Funcionalidade
50,Dificuldade de navegação no sistema.,formulario,2025-03-15,Feedback e Experiência,Crítica de Usabilidade
51,Banco de dados não responde às requisições.,email,2025-03-02,Problemas Técnicos,Falha de Banco de Dados
52,A interface poderia ser mais intuitiva.,chat,2025-03-07,Feedback e Experiência,Crítica de Usabilidade
53,Necessário ajustar layout e campos do relatório.,chat,2025-03-14,Solicitações Operacionais,Customização de Relatórios
54,Dados inconsistentes precisam ser reprocessados.,chat,2025-03-28,Solicitações Operacionais,Reprocessamento / Correção de Dados
55,A exportação de dados falha continuamente.,email,2025-03-02,Problemas Técnicos,Erro de Exportação / Relatórios
56,Entro em contato para solicitar retorno.,chat,2025-03-06,Outros,Mensagem Genérica
57,Seria interessante adicionar novos recursos.,chat,2025-03-28,Feedback e Experiência,Sugestão de Nova Funcionalidade
58,Estou satisfeito com o sistema.,formulario,2025-03-01,Feedback e Experiência,Feedback Positivo
59,Dificuldade de navegação no sistema.,sistema,2025-03-14,Feedback e Experiência,Crítica de Usabilidade
60,Apenas para agradecer.,formulario,2025-03-05,Outros,Agradecimento Simples
61,Solicito reprocessamento de dados incorretos.,email,2025-03-19,Solicitações Operacionais,Reprocessamento / Correção de Dados
62,Aguardando posicionamento.,sistema,2025-03-02,Outros,Mensagem Genérica
63,Há lentidão excessiva ao navegar entre as telas.,chat,2025-03-02,Problemas Técnicos,Problemas de Performance / Lentidão
64,Entro em contato para solicitar retorno.,email,2025-03-20,Outros,Mensagem Genérica
65,Falha de conexão com o banco de dados.,formulario,2025-03-04,Problemas Técnicos,Falha de Banco de Dados
66,Aguardando posicionamento.,email,2025-03-20,Outros,Mensagem Genérica
67,A exportação de dados falha continuamente.,sistema,2025-03-30,Problemas Técnicos,Erro de Exportação / Relatórios
68,Valor cobrado não condiz com o contratado.,sistema,2025-03-08,Financeiro e Cobrança,Cobrança Indevida / Duplicada
69,Solicito reembolso do valor pago.,sistema,2025-03-15,Financeiro e Cobrança,Reembolso / Estorno
70,"Efetuei o pagamento, mas consta como pendente no sistema.",formulario,2025-03-20,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
71,Entro em contato para solicitar retorno.,chat,2025-03-17,Outros,Mensagem Genérica
72,Há cobrança indevida no meu extrato.,email,2025-03-29,Financeiro e Cobrança,Cobrança Indevida / Duplicada
73,Dados inconsistentes precisam ser reprocessados.,chat,2025-03-15,Solicitações Operacionais,Reprocessamento / Correção de Dados
74,Obrigado pela ajuda.,email,2025-03-22,Outros,Agradecimento Simples
